Datum,Anruf-ID,Anrufername,Anliegen,Anrufdauer (Min),Dienstgebühr (€),Gesamtkosten (€),Zeitstempel
2024-12-06,137603,Peter Huber,Terminbuchung,23,2.50,57.50,14:15
2024-12-11,137604,Karl Braun,Allgemeine Anfrage,6,2.50,15.00,14:00
2024-12-01,137605,Michael Müller,Terminänderung,21,3.00,63.00,14:00
2024-12-10,137606,Julia Schmidt,Dringender Anruf,20,2.50,50.00,12:00
2024-12-11,137607,Sarah Schmidt,Allgemeine Anfrage,6,3.00,18.00,12:00
2024-12-05,137608,Hans Fischer,Rechnungsanfrage,7,3.00,21.00,13:00
2024-12-01,137609,Michael Kühn,Terminbuchung,11,2.50,27.50,08:15
2024-12-06,137610,Sarah Huber,Allgemeine Anfrage,11,3.00,33.00,15:00
2024-12-01,137611,Sarah Weber,Terminbuchung,8,2.50,20.00,16:30
2024-12-08,137612,Lisa Kühn,Terminbuchung,7,3.00,21.00,10:45
2024-12-04,137613,Hans Meier,Rechnungsanfrage,24,2.50,60.00,10:00
