Datum,Anruf-ID,Anrufername,Anliegen,Anrufdauer (Min),Dienstgebühr (€),Gesamtkosten (€),Zeitstempel
2024-12-06,183360,Karl Kühn,Allgemeine Anfrage,14,2.50,35.00,08:45
2024-12-09,183361,Erika Fischer,Terminänderung,22,3.00,66.00,13:00
2024-12-12,183362,Anna Müller,Terminänderung,6,2.50,15.00,14:30
2024-12-03,183363,Anna Huber,Rechnungsanfrage,5,2.50,12.50,15:00
2024-12-06,183364,Sarah Schäfer,Allgemeine Anfrage,19,3.00,57.00,15:00
2024-12-10,183365,Anna Braun,Terminänderung,9,3.00,27.00,15:45
2024-12-04,183366,Karl Meier,Dringender Anruf,18,2.50,45.00,12:45
2024-12-05,183367,Lisa Weber,Allgemeine Anfrage,23,2.50,57.50,12:15
2024-12-06,183368,Erika Fischer,Terminänderung,18,3.00,54.00,17:45
2024-12-09,183369,Anna Wagner,Terminbuchung,12,3.00,36.00,08:00
2024-12-12,183370,Lisa Müller,Dringender Anruf,10,3.00,30.00,08:30
2024-12-08,183371,Michael Schäfer,Terminbuchung,5,2.50,12.50,17:15
2024-12-04,183372,Hans Wagner,Terminänderung,5,3.00,15.00,10:30
2024-12-09,183373,Anna Schmidt,Dringender Anruf,23,2.50,57.50,16:00
2024-12-06,183374,Sarah Huber,Rechnungsanfrage,9,3.00,27.00,10:00
2024-12-06,183375,Lisa Braun,Allgemeine Anfrage,17,2.50,42.50,09:15
2024-12-03,183376,Karl Kühn,Rechnungsanfrage,19,3.00,57.00,12:45
2024-12-01,183377,Peter Kühn,Terminänderung,10,3.00,30.00,17:15
2024-12-06,183378,Peter Kühn,Terminänderung,11,2.50,27.50,14:45
2024-12-08,183379,Karl Huber,Allgemeine Anfrage,14,3.00,42.00,14:30
2024-12-04,183380,Sarah Wagner,Rechnungsanfrage,12,3.00,36.00,11:00
2024-12-07,183381,Hans Huber,Dringender Anruf,15,2.50,37.50,16:00
2024-12-08,183382,Anna Meier,Allgemeine Anfrage,23,3.00,69.00,12:00
2024-12-02,183383,Sarah Müller,Allgemeine Anfrage,21,2.50,52.50,17:45
2024-12-01,183384,Peter Braun,Rechnungsanfrage,18,2.50,45.00,13:45
2024-12-03,183385,Peter Müller,Terminbuchung,7,2.50,17.50,15:45
2024-12-09,183386,Julia Weber,Allgemeine Anfrage,8,2.50,20.00,10:15
2024-12-02,183387,Michael Kühn,Allgemeine Anfrage,17,3.00,51.00,09:00
